Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Tab,Datamodel,Mapping
r_wto_solarrad,Solar Radiation,Solar radiation,r,float,W/m2,N/A,N/A,No,Sensors.Weather,WeatherObserved,solarRadiation
r_wto_uv,UV,UV,r,float,dimensionless,0,15,No,Sensors.Weather,WeatherObserved,uVIndexMax
r_wto_thswindex,THSW Index,THSW index,r,float,Celsius,N/A,N/A,No,Sensors.Weather,WeatherObserved,thswIndex
r_nlo_ts,Timestamp,Timestamp NLO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Sonometer,NoiseLevelObserved,dateObserved
rw_nlo_calibrate,Calibrate Sonometer,Calibrate sonometer,rw,bool,dimensionless,N/A,N/A,No,Sensors.sonometer,NoiseLevelObserved,forceCalibration
rw_nlo_reference,Calibration Reference,Calibration reference,rw,uint8_t,dB,40,120,No,Sensors.Sonometer,NoiseLevelObserved,calibrationReference
rw_nlo_offset,Offset,Sonometer offset,rw,int8_t,dB,-30,80,No,Sensors.Sonometer,NoiseLevelObserved,offset
r_nlo_laeq,LAeq,LAeq,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LAeq
r_nlo_la1,LA1,LA1,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA1
r_nlo_la10,LA10,LA10,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA10
r_nlo_la50,LA50,LA50,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA50
r_nlo_la90,LA90,LA90,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA90
r_nlo_la99,LA99,LA99,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LA99
r_nlo_lamax,LAMax,LAMax,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LAmax
r_nlo_lamin,LAMin,LAMin,r,float,dB,10,140,No,Sensors.Sonometer,NoiseLevelObserved,LAmin
r_cfo_ts,Timestamp,Timestamp CFO (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,dateObserved
rw_cfo_shorti,Short Interval,Short Interval,rw,uint8_t,minutes,1,2,No,Sensors.Crowd Monitoring,CrowdFlowObserved,shortInterval
rw_cfo_mediumi,Medium Interval,Medium Interval,rw,uint8_t,minutes,2,5,No,Sensors.Crowd Monitoring,CrowdFlowObserved,mediumInterval
rw_cfo_longi,Long Interval,Long Interval,rw,uint8_t,minutes,10,10,No,Sensors.Crowd Monitoring,CrowdFlowObserved,longInterval
rw_cfo_wifithr,Threshold WiFi,Threshold WiFi,rw,int32_t,dbm,0,-120,No,Sensors.Crowd Monitoring,CrowdFlowObserved,wifiRssiDetectThreshold
rw_cfo_blethr,Threshold BLE,Threshold BLE,rw,int32_t,dbm,0,-120,No,Sensors.Crowd Monitoring,CrowdFlowObserved,bleRssiDetectThreshold
rw_cfo_macfilter,MAC Filter,MAC Filter,rw,uint8_t,dimensionless,1,3,No,Sensors.Crowd Monitoring,CrowdFlowObserved,macFilter
rw_cfo_techfilter,Technology Filter,Technology Filter,rw,uint8_t,dimensionless,0,2,No,Sensors.Crowd Monitoring,CrowdFlowObserved,techFilter
r_cfo_counts,Count Short Interval,Count Short Interval,r,uint32_t,dimensionless,0,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,peopleCountShortInterval
r_cfo_countm,Count Medium Interval,Count Medium Interval,r,uint32_t,dimensionless,0,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,peopleCountMediumInterval
r_cfo_countl,Count Long Interval,Count Long Interval,r,uint32_t,dimensionless,0,N/A,No,Sensors.Crowd Monitoring,CrowdFlowObserved,peopleCountLongInterval
r_cfe_ts,Timestamp,Timestamp CFE (GMT+0),r,uint64_t,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,dateObserved
rw_cfe_enable,Enable Report MAC,Report MAC,rw,bool,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,enableReports
r_cfe_block,MAC,MAC,r,Object,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,cfeBlock
r_cfe_timeinstant,Detection Timestamp,Timestamp of detection,r,DateTime,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,timestamp
r_cfe_detectType,Detection Type,Detection Type,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,detectionType
r_cfe_visitorId,Visitor ID,Visitor ID,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,visitorId
r_cfe_random,Random,Random MAC,r,uint8_t,dimensionless,0,2,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,random
r_cfe_rssi,RSSI,RSSI,r,int16_t,dBm,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,rssi
r_cfe_ssid,SSID,SSID,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,ssid
r_cfe_signature,Signature,Signature,r,string,dimensionless,N/A,N/A,No,Sensors.Crowd Monitoring ID,CrowdFlowEvent,signature
