Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Sensor name,Datamodel,Mapping,Template
r_33_mwosd4,Moisture without salinity depth 4,Moisture without salinity depth 4,r,float,%,N/A,N/A,No,ENVIROPRO_L,,,No
r_33_mwosd5,Moisture without salinity depth 5,Moisture without salinity depth 5,r,float,%,N/A,N/A,No,ENVIROPRO_L,,,No
r_33_mwosd6,Moisture without salinity depth 6,Moisture without salinity depth 6,r,float,%,N/A,N/A,No,ENVIROPRO_L,,,No
r_33_mwosd7,Moisture without salinity depth 7,Moisture without salinity depth 7,r,float,%,N/A,N/A,No,ENVIROPRO_L,,,No
r_34_swt,Soil Water Tension (WATERMARK),Soil Water Tension,r,float,centibars,0,255,No,WATERMARK,,,Yes
r_35_dist,Distance (DENDROMETER),Diameter of the measured item,r,uint32_t,µm,N/A,N/A,No,DENDROMETER,,,Yes
r_36_rad,Radiation (SP510),Solar Radiation,r,float,W/m2,0,2000,No,SP510,,,Yes
r_37_hi,Humidity Index (LWS),Humidity Index,r,float,dimensionless,N/A,N/A,No,LWS,,,Yes
r_41_nh3,NH2 Concentration (CCG10_NH3),Concentration of NH2 in the air,r,uint32_t,ppm,N/A,N/A,No,CCG10_NH3,,,Yes
r_42_ch4,CH4 Concentration (CCG10_CH4),Concentration of CH4 in the air,r,uint32_t,ppm,N/A,N/A,No,CCG10_CH4,,,Yes
r_43_tmp,Temperature (SIL411),Water Temperature,r,float,celsius,N/A,N/A,No,SIL411,,,Yes
r_44_rad,Radiation (SQ100X),Solar Radiation,r,float,µmol/m2*s,N/A,N/A,No,SQ100X,,,Yes
r_44_volt,Millivolts (SQ100X),Millivolts of the sensor readed,r,float,V,N/A,N/A,No,SQ100X,,,No
r_44_radi,Radiation Immersed (SQ100X),Radiation Immersed,r,float,µmol/m2*s,N/A,N/A,No,SQ100X,,,No
r_45_wp,Water Potential (FLORAPULSE),Water Potential,r,float,bar,0,100,No,FLORAPULSE,,,Yes
r_45_volt,Millivolts (FLORAPULSE),Millivolts of the sensor readed,r,float,mV,N/A,N/A,No,FLORAPULSE,,,Yes
r_45_tr,Thermoresistance (FLORAPULSE),Thermoresistance,r,float,ohms,N/A,N/A,No,FLORAPULSE,,,Yes
r_46_tmp,Temperature (CCM05),Atmospheric Temperature,r,float,celsius,-40,85,No,CCM05,,,Yes
r_46_hum,Humidity (CCM05),Atmospheric Humidity,r,float,%,0,100,No,CCM05,,,Yes
r_46_pres,Pressure (CCM05),Barometric Pressure,r,float,hPa,300,1100,No,CCM05,,,Yes
r_46_ws,Wind Speed (CCM05),Wind Speed,r,float,m/s,0,60,No,CCM05,,,Yes
r_46_wd,Wind Direction (CCM05),Wind Direction,r,float,degrees,0,360,No,CCM05,,,Yes
r_47_co2,CO2 Concentration (CCG10_C02),Concentration of CO2 in the water,r,uint32_t,ppm,N/A,N/A,No,CCG10_C02,,,Yes
r_48_type,Device Type (SMP10),Device Type,r,string,dimensionless,N/A,N/A,No,SMP10,,,No
r_48_mode,Operational Mode (SMP10),Operational Mode,r,string,dimensionless,N/A,N/A,No,SMP10,,,No
r_48_err,Error Code (SMP10),Error Code,r,uint8_t ,dimensionless,N/A,N/A,No,SMP10,,,No
r_48_scale,Scale Factor (SMP10),Scale Factor,r,int8_t ,dimensionless,N/A,N/A,No,SMP10,,,No
r_48_rad,Radiation (SMP10),Solar Radiation,r,float,W/m2,-400,4000,No,SMP10,,,Yes
r_48_stddv,Standard Deviation (SMP10),Standard Deviation,r,float ,dimensionless,N/A,N/A,No,SMP10,,,No
r_48_btmp,Body Temperature (SMP10),Body Temperature,r,float,degrees,-40,70,No,SMP10,,,Yes
r_48_epwr,External Power (SMP10),Voltage to power the sensor detected,r,float,volts,5,30,No,SMP10,,,No
r_49_tmp,Temperature (NESA TA),Atmospheric Temperature,r,float,celsius,-40,60,No,NESA_TA,,,Yes
r_50_ws,Wind Speed (THIES),Wind Speed,r,float,m/s,0,85,No,THIES,,,Yes
r_50_wd,Wind Direction (THIES),Wind Direction,r,uint16_t,degrees,0,360,No,THIES,,,Yes
r_50_vtmp,Virtual Temperature (THIES),Virtual Temperature,r,float,celsius,-50,80,No,THIES,,,Yes
r_50_gs,Gust Speed (THIES),Gust Speed,r,float,m/s,0,85,No,THIES,,,No
r_50_gd,Gust Direction (THIES),Gust Direction,r,uint16_t,degrees,0,360,No,THIES,,,No
r_50_epwr,External Power (THIES),Voltage to power the sensor detected,r,uint16_t,volts,8,78,No,THIES,,,No
r_50_fw,Firmware Version (THIES),Firmware Version of the sensor,r,float,dimensionless,N/A,N/A,No,THIES,,,No
r_50_itmp,Internal Temperature (THIES),Internal Temperature,r,float,celsius,-50,80,No,THIES,,,No
r_50_sn,Serial Number (THIES),Serial Number,r,string,dimensionless,N/A,N/A,No,THIES,,,No
r_50_stat,Status (THIES),Status,r,uint8_t ,dimensionless,N/A,N/A,No,THIES,,,No
r_51_tmp,Temperature (KELLER),Water Temperature,r,float,celsius,0,50,No,KELLER_PR36XW,,,Yes
r_51_pres,Pressure (KELLER),Water Pressure,r,float ,bar,0,30,No,KELLER_PR36XW,,,Yes
